☆ 第1页 ☆
我院召开人才引进工作会议 ☛ 20160514
我院获两项校级综合性、设计性实验项目立项 ☛ 20160513
华南师范大学经济行为科学重点实验室招聘师资博士后启事 ☛ 20160513
珠江管理论坛第14期顺利开讲 ☛ 20160511
第174期“华南经济论坛”成功举办 ☛ 20160510
我院获一项校级创新创业课程建设项目立项 ☛ 20160505
华南师范大学经济与管理学院招聘高层次人才启事 ☛ 20160505
我院2016年硕士研究生待录取名单公示 ☛ 20160414
缅怀革命先烈、深化“两学一做”学习教育——我院研究生党支部参观广州起义烈士陵园 ☛ 20160412
我院2016年第三批金融硕士（025100）复试安排 ☛ 20160410
我院2016年金融专硕（第三批）研究生招生调剂公告 ☛ 20160408
我院在广东省“立志修身博学报国”主题教育系列 活动中喜获佳绩 ☛ 20160406
珠江管理论坛第13期成功举办 ☛ 20160330
我院启动师资博士后招聘及评审工作 ☛ 20160330

☆ 第6页 ☆
第171期“华南经济论坛”成功举办 ☛ 20160325
我院召开金融硕士教学研讨会 ☛ 20160323
美国密苏里州立大学代表来访我院商谈MBA合作项目 ☛ 20160322
人力系成功召开“HR实习求职那些事”分享会 ☛ 20160321
我院2016年全日制硕士研究生招生复试安排（含后续材料安排） ☛ 20160319
广东工业大学管理学院来我院调研高水平大学建设情况 ☛ 20160318
吴坚副校长来我院调研国际化办学情况 ☛ 20160318
第170期“华南经济论坛”成功举办 ☛ 20160316
我院2016年硕士研究生招生调剂公告 ☛ 20160312
我院获25项校级大学生创新创业训练计划项目立项 ☛ 20160127
我院会计学硕士学位论文中期检查暨硕士点工作会议顺利举行 ☛ 20160121
凯纳资本总经理陈曦莅临我院与金融硕士进行专题学术交流 ☛ 20160118
我院成功举办首届香樟经济学论坛（CEC）英文Workshop ☛ 20160115
2016年经管学术论坛顺利召开 ☛ 20160113
珠江管理论坛第12期成功举办 ☛ 20160113
我院荣获两项2015年广东社会科学学术年会优秀论文奖 ☛ 20160111
南开大学王群勇教授莅临我院开展学术交流 ☛ 20160108
我院参加教育部本科教学工作审核评估 ☛ 20151225
珠江管理论坛第十一期成功举办 ☛ 20151223
华南师范大学首届计量经济史WORKSHOP顺利举行 ☛ 20151222

☆ 第7页 ☆
第166期“华南经济论坛”成功举办 ☛ 20151221
我院荣获2项广东省哲学社会科学优秀成果 ☛ 20151221
珠江管理论坛第十期成功举办 ☛ 20151218
优秀校友杨涛莅临我院讲学 ☛ 20151216
中国国家图书馆副馆长陈力客座教授聘任仪式暨第九期“珠江管理论坛”成功举办 ☛ 20151216
我院荣获2项教育部优秀成果奖 ☛ 20151215
厦门大学王亚南经济研究院郑挺国客座教授聘任仪式暨第164期“华南经济论坛”顺利开讲 ☛ 20151211
迎评估、树新风——我院组织学生宿舍大检查 ☛ 20151211
第61期“华南经济双周论坛” ☛ 20151208
我院董志强教授荣获教育部第六届高等学校科学研究优秀成果奖 ☛ 20151208
我院增列应用经济学博士学位一级授权点 ☛ 20151207
我院在2015年度博士后科研流动站评估中获得好成绩 ☛ 20151207
会计系教师参加会计实践教学培训 ☛ 20151207
我院2014年拟接收推荐免试攻读硕士学位研究生名单公示 ☛ 20151203
我院在2015年校运会中勇夺团体总分第一名 ☛ 20151203
我院召开学位授权点自我评估工作专家评审会 ☛ 20151201
第161期“华南经济论坛”成功举行 ☛ 20151201
我院研究生和本科生党支部开展特色党日参观与交流活动 ☛ 20151129
安徽师范大学经济管理学院同行来我院交流 ☛ 20151127
广东省农村经济学会2015年年会在我校举行 ☛ 20151127

☆ 第8页 ☆
中国社会科学院吴要武教授讲座成功举办 ☛ 20151126
华南师范大学第八届“勷勤论坛”之勷约名家张曙光专场 ☛ 20151126
我院四位老师参加中国第七次人的发展经济学研讨会 ☛ 20151123
我院会计系 “专业与职业：会计师事务所实践” 专题讲座顺利举行 ☛ 20151123
我院举行金融硕士校外导师聘任仪式暨金融硕士教学研讨会 ☛ 20151123
我院学生荣获第十四届“挑战杯”全国大学生课外学术科技作品竞赛二等奖 ☛ 20151123
第157期“华南经济论坛”成功举办 ☛ 20151120
珠江管理论坛第八期成功举办 ☛ 20151119
第156期“华南经济论坛”成功举办 ☛ 20151119
蒋峦教授和乐琦副研究员受邀参加“第八届中国战略管理学者论坛” ☛ 20151117
刘愿副教授受中央财经大学、复旦大学邀请报告学术论文 ☛ 20151116
我院男篮喜获学校第十三届研究生篮球联赛总冠军 ☛ 20151116
我院举办“国家基金项目申报辅导”系列活动 ☛ 20151112
我院研究生党支部开展群众路线主题教育活动 ☛ 20151111
学院领导与内布拉斯加大学代表交流，推进与美国大学合作新模式 ☛ 20151106
我院教师参加中国劳动学会劳动科学教育分会2015年年会 ☛ 20151104
广州首届劳动经济workshop顺利举行 ☛ 20151103
我院获8项校级教学“质量工程”项目立项 ☛ 20151103
我院信息资源管理专业硕士研究生中期检查报告会顺利举行 ☛ 20151102
蔡一鸣副教授参加2015中国制度经济学年会 ☛ 20151029

☆ 第9页 ☆
武艳杰副教授参加全球金融管理协会2015年年会 ☛ 20151029
马斌教授出席“人口发展与经济新常态---中国人口学会2015年会” ☛ 20151027
我院学子喜获第十一届全国大学生“新道杯”沙盘模拟经营大赛全国总决赛二等奖 ☛ 20151026
我院会计系2012级本科专业毕业论文写作指导专题讲座顺利举行 ☛ 20151026
大连工业大学管理学院到我院交流 ☛ 20151026
我院2016年拟接收推荐免试攻读硕士学位研究生名单公示（第二批） ☛ 20151015
我院2016年拟接收推荐免试攻读硕士学位研究生名单公示 ☛ 20151012
张凤超教授受邀参加第三届中国社会科学跨学科论坛 ☛ 20151012
我院关于2016年接收推荐免试攻读硕士学位研究生复试安排 ☛ 20150930
我院举行2015年省质量工程和教学改革项目论证开题会议 ☛ 20150930
2015年广东省高校管理学院院长联席会议顺利召开 ☛ 20150929
我院新增教育硕士（财经商贸类职业技术教育）领域专业学位授权点 ☛ 20150925
2015华南师范大学三和实习基地学生实习圆满结束 ☛ 20150925
我院2016年接收推荐免试攻读硕士学位研究生公告与细则 ☛ 20150919
人力资源管理系佛广交通集团实习生实习分享会 ☛ 20150916
经济与管理学院2015级新生接新工作顺利完成 ☛ 20150913
我院2015级新生开学典礼隆重举行 ☛ 20150911
连洪泉博士出席第十五届中国青年经济学者论坛 ☛ 20150910
我院余以胜老师带队参加全国电子商务“三创赛”总决赛暨第十二届全国高校电子商务教育与学术研讨会 ☛ 20150907
我校高水平大学建设“经济与社会发展学科群”项目论证会顺利举行 ☛ 20150826

☆ 第10页 ☆
我院朱琪教授和冯巨章教授获批国家自然科学基金项目 ☛ 20150819
我院获24项大学生创新创业训练项目立项 ☛ 20150714
我院多项大学生创新创业训练计划项目通过结题验收和中期检查 ☛ 20150707
“华南经济论坛”第140期顺利开讲 ☛ 20150703
张程睿副教授参加中国留美经济学会（CES）2015年度国际学术研讨会 ☛ 20150702
第五届全国大学生“创新、创意及创业”挑战赛广东省“第三方银行”选拨赛在我院举行 ☛ 20150630
连洪泉博士应邀参加实验经济学方法工具研讨与培训交流会 ☛ 20150616
我院教师考察学习人大经济组织与经济行为实验室 ☛ 20150616
“华南经济论坛”第135期顺利开讲 ☛ 20150615
“华南经济论坛”第136期顺利召开 ☛ 20150615
我院举行人力资源管理系第五届系友经验分享会 ☛ 20150612
我校对口扶贫点干部来我院交流 ☛ 20150612
董志强教授出席第三届组织经济学研讨会 ☛ 20150610
我院教师出席加拿大经济学年会并访问加拿大高校 ☛ 20150610
我院研究生党员赴广州黄埔古港开展党员教育活动 ☛ 20150602
我院邬锦雯教授受邀参加经济与管理国际会议 ☛ 20150601
孙建军先生客座教授授予仪式暨珠江管理论坛第三期成功举办 ☛ 20150529
珠江管理论坛第四期成功举办 ☛ 20150529
王智波教授、刘愿副教授携研究生参加中国青年经济学家联谊会2015年年会 ☛ 20150527
我院2015年博士研究生拟录取名单公示 ☛ 20150526

☆ 第11页 ☆
我院学子在第十三届“挑战杯”广东大学生课外学术科技作品竞赛中斩获佳绩 ☛ 20150526
珠江管理论坛第二期顺利开讲 ☛ 20150526
“空间经济与公共政策”跨学科小型学术研讨会在我院顺利召开 ☛ 20150522
我院喜获“新道杯”企业经营模拟沙盘大赛广东省总决赛一等奖 ☛ 20150520
中大-暨大-华师三校青年经济学者联谊会顺利举行 ☛ 20150518
珠江管理论坛第一期顺利开讲 ☛ 20150518
武汉大学陈传夫教授莅临我院讲学 ☛ 20150515
我院2015年博士研究生复试通知 ☛ 20150515
我院举行2014级研究生党员座谈会 ☛ 20150515
我院何杨平博士参加数字营销传播研究与应用国际研讨会 ☛ 20150515
我院喜获广东省首届大学生物流设计大赛二等奖 ☛ 20150511
我院与高等教育出版社联合主办 全国财会类专业创新与实践高级研讨会 ☛ 20150511
省委书记胡春华到我校调研并考察学院工作 ☛ 20150505
本科14级党支部组织红色景点游 ☛ 20150430
我院召开辅修、双学位专业招生宣讲会 ☛ 20150430
我院获多项省级教学项目立项 ☛ 20150430
