series_name,model_name,model_id,series_id
,2009款 2代 1.5L 手动豪华型,5571,447
,2010款 1.5L 手动经典版,12327,447
,2010款 1.5L 手动无敌版,7284,447
,2010款 2代 1.5L 手动标准型,7388,447
,2010款 1.5L 手动CNG经典版,12329,447
,2010款 1.5L 手动无敌增配版,7285,447
,2010款 2代 1.5L 手动豪华型,7389,447
,2010款 1.5L 手动尊贵版,12328,447
,2010款 2代 1.5L 手动导航型,7390,447
,2010款 2代 1.5L 手动CNG标准型,12331,447
,2010款 1.5L 手动VVT无敌版,12330,447
,2010款 2代 1.5L 手动VVT标准型,12332,447
,2010款 2代 1.5L 手动VVT豪华型,12334,447
,2013款 1.5L 手动进取型,15434,447
,2013款 1.5L 手动精英型,14898,447
,2013款 1.5L 手动尊贵型,15435,447
,2006款 1.6L 手动标准型,2103,447
,2006款 1.6L 手动舒适型,2303,447
,2006款 1.6L 手动豪华型,2332,447
,2006款 1.5L 手动天窗版,4158,447
,2006款 1.5L 手动舒适型,2727,447
,2006款 1.5L 手动豪华型,2728,447
,2006款 1.5L 自动豪华型,2333,447
,2014款 三厢 1.5L 手动进取型,18755,447
,2014款 CROSS 1.5L 手动进取型,18800,447
,2014款 三厢 1.5L 手动精英型,18794,447
,2014款 CROSS 1.5L 手动精英型,18799,447
,2014款 两厢 1.5L 手动进取型,18791,447
,2014款 三厢 1.5L 手动尊贵型,18795,447
,2014款 两厢 1.5L 手动精英型,18792,447
,2014款 三厢 1.5L 自动精英型,18796,447
,2014款 两厢 1.5L 手动尊贵型,18793,447
,2014款 CROSS 1.5L 自动精英型,18756,447
,2014款 两厢 1.5L 自动精英型,18754,447
,2007款 1.8L 手动标准型,4159,447
,2007款 1.8L 手动舒适型,2952,447
,2007款 1.8L 手动豪华型,3365,447
,2007款 经典版 1.5L 手动基本型,3366,447
,2007款 经典版 1.5L 手动标准型,2726,447
,2016款 2.8T两驱旗舰版标准轴距JE493ZLQ4E,1004179,3639
,2016款 2.8T两驱旗舰版加长轴距JE493ZLQ4E,1004182,3639
,2016款 2.8T两驱旗舰版标准轴距JE493ZLQ4CB,1004180,3639
,2016款 2.8T两驱旗舰版加长轴距JE493ZLQ4CB,1004183,3639
,2016款 2.8T四驱旗舰版标准轴距JE493ZLQ4CB,1004185,3639
,2016款 2.8T四驱旗舰版加长轴距JE493ZLQ4CB,1004187,3639
,2016款 2.8T四驱旗舰升级版加长轴距JE493ZLQ4CB,1004646,3639
,2016款 2.2L两驱旗舰版国V标准轴距V22,1004724,3639
,2016款 2.2L两驱旗舰版国V加长轴距V22,1004725,3639
,2016款 2.2L四驱旗舰版国V标准轴距V22,1004722,3639
,2016款 2.2L四驱旗舰版国V加长轴距V22,1004723,3639
,2016款 2.2L两驱舒适版标准轴距4G22B,1004107,3639
,2016款 2.2L两驱舒适版加长轴距4G22B,1004110,3639
,2016款 2.2L两驱尊贵版标准轴距4G22B,1004101,3639
,2016款 2.2L两驱尊贵版加长轴距4G22B,1004104,3639
,2016款 2.2L两驱旗舰版标准轴距4G22B,1004181,3639
,2016款 2.2L两驱旗舰版加长轴距4G22B,1004184,3639
,2016款 2.2L四驱舒适版标准轴距4G22B,1004096,3639
,2016款 2.2L四驱舒适版加长轴距4G22B,1004098,3639
,2016款 2.2L四驱尊贵版标准轴距4G22B,1004092,3639
,2016款 2.2L四驱尊贵版加长轴距4G22B,1004094,3639
,2016款 2.2L四驱旗舰版标准轴距4G22B,1004186,3639
,2016款 2.2L四驱旗舰版加长轴距4G22B,1004188,3639
,2015款 2.8T两驱舒适版标准轴距JE493ZLQ4E,1002896,3639
,2015款 2.8T两驱舒适版加长轴距JE493ZLQ4E,1003517,3639
,2015款 2.8T两驱尊贵版标准轴距JE493ZLQ4E,1003520,3639
,2015款 2.8T两驱尊贵版加长轴距JE493ZLQ4E,1003523,3639
,2015款 2.8T两驱舒适版标准轴距JE493ZLQ4CB,1003515,3639
,2015款 2.8T两驱舒适版加长轴距JE493ZLQ4CB,1003518,3639
,2015款 2.8T两驱尊贵版标准轴距JE493ZLQ4CB,1003521,3639
,2015款 2.8T两驱尊贵版加长轴距JE493ZLQ4CB,1003524,3639
,2015款 2.8T四驱舒适版标准轴距JE493ZLQ4CB,1003526,3639
,2015款 2.8T四驱舒适版加长轴距JE493ZLQ4CB,1003528,3639
,2015款 2.8T四驱尊贵版标准轴距JE493ZLQ4CB,1003530,3639
,2015款 2.8T四驱尊贵版加长轴距JE493ZLQ4CB,1003532,3639
,2015款 2.2L两驱舒适版标准轴距4G22B,1003516,3639
,2015款 2.2L两驱舒适版加长轴距4G22B,1003519,3639
,2015款 2.2L两驱尊贵版标准轴距4G22B,1003522,3639
,2015款 2.2L两驱尊贵版加长轴距4G22B,1003525,3639
,2015款 2.2L四驱舒适版标准轴距4G22B,1003527,3639
,2015款 2.2L四驱舒适版加长轴距4G22B,1003529,3639
,2015款 2.2L四驱尊贵版标准轴距4G22B,1003531,3639
,2015款 2.2L四驱尊贵版加长轴距4G22B,1003533,3639
,2009款 3.2T豪华型短轴,1000940,2659
,2009款 3.2T豪华型长轴,1000942,2659
,2009款 3.2T简配型短轴,1000944,2659
,2009款 3.2T简配型长轴,1000946,2659
,2009款 2.2L豪华型短轴JM491Q-ME,1000941,2659
,2009款 2.2L豪华型长轴JM491Q-ME,1000943,2659
,2009款 2.2L简配型短轴JM491Q-ME,1000945,2659
,2009款 2.2L简配型长轴JM491Q-ME,1000947,2659
,2009款 2.2L劲酷版豪华型短轴JM491Q-ME,1000948,2659
,2009款 2.2L劲酷版豪华型长轴JM491Q-ME,1000949,2659
,2013款 2.5TD25柴油两驱短轴DK4B,1002057,2659
,2013款 2.5TD25柴油两驱长轴DK4B,1002058,2659
,2013款 2.2T柴油两驱短轴D22A,1001547,2659
,2013款 2.2T柴油两驱长轴D22A,1001548,2659
,2013款 2.2T柴油四驱短轴D22A,1001549,2659
,2013款 2.2T柴油四驱长轴D22A,1001550,2659
,2013款 2.2L汽油两驱短轴JM491Q-ME,1002160,2659
,2013款 2.2L汽油两驱长轴JM491Q-ME,1002166,2659
,2013款 2.2L双燃料两驱短轴JM491Q-ME,1002164,2659
,2013款 2.2L双燃料两驱长轴JM491Q-ME,1002168,2659
,2013款 2.2L汽油四驱短轴JM491Q-ME,1002162,2659
,2013款 2.2L汽油四驱长轴JM491Q-ME,1002167,2659
,2015款 Sportback 40 TFSI 自动舒适型,21567,3170
,2015款 Limousine 40 TFSI 自动舒适型,21569,3170
,2015款 Sportback 40 TFSI 自动豪华型,21568,3170
,2015款 Limousine 40 TFSI 自动豪华型,21570,3170
,2015款 Sportback 35 TFSI 手动进取型,18658,3170
,2015款 Limousine 35 TFSI 手动进取型,21598,3170
,2015款 Sportback 35 TFSI 百万纪念智领型,22883,3170
,2015款 Limousine 35 TFSI 百万纪念智领型,22884,3170
,2015款 Sportback 35 TFSI 百万纪念舒享型,22885,3170
,2015款 Limousine 35 TFSI 百万纪念舒享型,22886,3170
,2015款 Sportback 35 TFSI 百万纪念乐享型,22887,3170
,2015款 Limousine 35 TFSI 百万纪念乐享型,22888,3170
,2008款 1.5L 手动内饰升级版,4162,447
比速T3,2017款 1.3T 手动舒适型,28372,4164
比速T3,2017款 1.3T 手动豪华型,28373,4164
比速T3,2017款 1.3T 手动尊贵型,28374,4164
比速M3,2017款 1.5L 基本型,28236,4173
比速M3,2017款 1.5L 精英型,28237,4173
比速M3,2017款 1.5L 豪华型,28238,4173
比速M3,2017款 1.5L 尊享型,28239,4173
比速M3,2017款 1.5T 精英型,28369,4173
比速M3,2017款 1.5T 豪华型,28370,4173
比速M3,2017款 1.5T 尊贵型,28371,4173
,2016款 1.5L 手动进取型 国IV,24893,447
,2016款 1.5L 手动精英型 国IV,24894,447
,2011款 2.8T商务版,1000729,2569
,2011款 2.8T商务版,1000730,2569
,2011款 2.8T舒适版,1000731,2569
,2011款 2.8T舒适版,1000732,2569
,2011款 2.8T快运版,1000733,2569
,2011款 2.8T快运版,1000734,2569
,2011款 2.8T旅行版,1000735,2569
,2011款 2.8T旅行版,1000736,2569
骐铃T5,2016款 2.8T两驱舒适型标准轴距JE493ZLQ4E,1004558,3466
骐铃T5,2016款 2.8T两驱舒适型改款加长轴距JE493ZLQ4E,1005275,3466
骐铃T5,2016款 2.8T两驱尊贵型标准轴距JE493ZLQ4E,1004552,3466
骐铃T5,2016款 2.8T两驱尊贵型改款加长轴距JE493ZLQ4E,1005272,3466
骐铃T5,2016款 2.8T两驱舒适型标准轴距JE493ZLQ4CB,1004557,3466
骐铃T5,2016款 2.8T两驱舒适型改款加长轴距JE493ZLQ4CB,1005274,3466
骐铃T5,2016款 2.8T四驱舒适型标准轴距JE493ZLQ4CB,1004556,3466
骐铃T5,2016款 2.8T四驱舒适型改款加长轴距JE493ZLQ4CB,1005273,3466
骐铃T5,2016款 2.8T两驱尊贵型标准轴距JE493ZLQ4CB,1004551,3466
骐铃T5,2016款 2.8T两驱尊贵型改款加长轴距JE493ZLQ4CB,1005271,3466
骐铃T5,2016款 2.8T四驱尊贵型标准轴距JE493ZLQ4CB,1004550,3466
骐铃T5,2016款 2.8T四驱尊贵型改款加长轴距JE493ZLQ4CB,1005270,3466
骐铃T5,2016款 2.2L两驱舒适版国V标准轴距V22,1004720,3466
骐铃T5,2016款 2.2L两驱舒适版国V改款加长轴距V22,1005269,3466
骐铃T5,2016款 2.2L四驱舒适版国V标准轴距V22,1004715,3466
骐铃T5,2016款 2.2L四驱舒适版国V改款加长轴距V22,1005266,3466
骐铃T5,2016款 2.2L两驱尊贵版国V标准轴距V22,1004718,3466
骐铃T5,2016款 2.2L两驱尊贵版国V改款加长轴距V22,1005268,3466
骐铃T5,2016款 2.2L四驱尊贵版国V标准轴距V22,1004717,3466
骐铃T5,2016款 2.2L四驱尊贵版国V改款加长轴距V22,1005267,3466
EX系列,2017款 EX260 乐活版,29229,4015
EX系列,2017款 EX260 乐酷版,29230,4015
北汽新能源ES210,2015款 畅睿版,21220,3537
EU系列,2017款 EU260 乐途plus版,29231,3884
EU系列,2017款 EU260 乐享版,29232,3884
EH系列,2017款 EH300 行政版,30032,4104
EH系列,2017款 EH300 尊享版,30033,4104
EC系列,2017款 EC180 灵动版,28793,4264
EC系列,2017款 EC180 灵秀版,28608,4264
EV系列,2016款 EV160 轻快版,26600,3533
EV系列,2016款 EV160 轻秀版,26601,3533
EV系列,2015款 EV200 轻快版,22086,3533
EV系列,2015款 EV200 轻秀版,21749,3533
EV系列,2015款 EV200 轻享版,21750,3533
,2016款 基本型,27023,4164
威航,2008款 16.4 8.0T,4084,390
,2014款 2.8T两驱精英型标准轴距JE493ZLQ4CB,1002347,3466
,2014款 2.8T两驱精英型加长轴距JE493ZLQ4CB,1002350,3466
,2014款 2.8T两驱升级型标准轴距JE493ZLQ4CB,1002840,3466
,2014款 2.8T两驱升级型加长轴距JE493ZLQ4CB,1002844,3466
,2014款 2.8T两驱豪华型标准轴距JE493ZLQ4CB,1002353,3466
,2014款 2.8T两驱豪华型加长轴距JE493ZLQ4CB,1002356,3466
,2014款 2.8T四驱精英型标准轴距JE493ZLQ4CB,1003116,3466
,2014款 2.8T四驱精英型加长轴距JE493ZLQ4CB,1003110,3466
,2014款 2.8T四驱升级型标准轴距JE493ZLQ4CB,1003118,3466
,2014款 2.8T四驱升级型加长轴距JE493ZLQ4CB,1003112,3466
,2014款 2.8T四驱豪华型标准轴距JE493ZLQ4CB,1003114,3466
,2014款 2.8T四驱豪华型加长轴距JE493ZLQ4CB,1003108,3466
,2014款 2.8T超值版标准轴距JE493ZLQ4E,1003418,3466
,2014款 2.8T两驱精英型标准轴距JE493ZLQ4E,1002348,3466
,2014款 2.8T超值版加长轴距JE493ZLQ4E,1003419,3466
,2014款 2.8T两驱精英型加长轴距JE493ZLQ4E,1002351,3466
,2014款 2.8T两驱升级型标准轴距JE493ZLQ4E,1002841,3466
,2014款 2.8T两驱豪华型标准轴距JE493ZLQ4E,1002354,3466
,2014款 2.8T两驱升级型加长轴距JE493ZLQ4E,1002845,3466
,2014款 2.8T两驱豪华型加长轴距JE493ZLQ4E,1002357,3466
,2014款 2.4T两驱精英型标准轴距4D25,1002832,3466
,2014款 2.4T两驱精英型加长轴距4D25,1002833,3466
,2014款 2.4T两驱升级型标准轴距4D25,1002843,3466
,2014款 2.4T两驱升级型加长轴距4D25,1002847,3466
,2014款 2.2L两驱精英型标准轴距4G22B,1002349,3466
,2014款 2.2L两驱精英型加长轴距4G22B,1002352,3466
,2014款 2.2L两驱升级型标准轴距4G22B,1002842,3466
,2014款 2.2L两驱豪华型标准轴距4G22B,1002355,3466
,2014款 2.2L两驱升级型加长轴距4G22B,1002846,3466
,2014款 2.2L两驱豪华型加长轴距4G22B,1002358,3466
,2014款 2.2L四驱精英型标准轴距4G22B,1003117,3466
,2014款 2.2L四驱精英型加长轴距4G22B,1003111,3466
,2014款 2.2L四驱豪华型标准轴距4G22B,1003115,3466
,2014款 2.2L四驱升级型标准轴距4G22B,1003119,3466
,2014款 2.2L四驱豪华型加长轴距4G22B,1003109,3466
,2014款 2.2L四驱升级型加长轴距4G22B,1003113,3466
,2016款 EX200 乐活版,26223,4015
,2016款 EX200 乐酷版,25096,4015
,2013款 电动版,19427,3537
,2016款 EU260 乐途plus版,27863,3884
,2016款 EU260 乐享版,24524,3884
,2015款 EV160 轻快版,24025,3533
,2015款 EV160 轻秀版,22087,3533
,2014款 E150EV 时尚版,19415,3533
,2014款 E150EV 科技版,19416,3533
,2004款 Coupe 8.OT,1418,390
,2009款 Centenaire,5424,390
,2009款 Sang Bleu,5899,390
,2009款 16.4敞篷版 8.0T,4293,390
,2009款 爱马仕特别版 8.0T,6153,390
,2010款 16.4百年纪念版 8.0T,6449,390
,2016款 EH400 基本型,26163,4104
,2013款 电动版,19414,3533
,2012款 V12 S,12755,2809
,2012款 GL 63 Biturbo,14373,2947
巴博斯 M级,2013款 35MR,16171,2575
巴博斯 SLK级,2012款 26SC,10999,2446
巴博斯 smart fortwo,2017款 硬顶BRABUS Xclusive,28528,2683
,2011款 Super Sport,8090,390
,2011款 SV12 R,11056,2444
,2011款 60S 加长版,11273,2444
,2011款 60S,11682,2444
,2011款 38S,11145,2444
,2011款 40S,10979,2444
北汽007,2015款 2.0L 两驱舒适型,21456,3712
北汽007,2015款 2.0T 两驱舒适型,26415,3712
北汽007,2015款 2.0T 两驱豪华型,21455,3712
北汽007,2015款 2.0T 四驱豪华型,21447,3712
,2012款 60S 龙年限量版,14392,2444
,2013款 50S 4M,14145,2444
,2013款 38S 4M,14144,2444
北汽威旺T205-D,2013款 1.0L 标准版,1002199,3428
北汽威旺T205-D,2013款 1.0L 加长版,1002200,3428
