text,reply_text,name,source,comment_id,reply_name
"回复<a href='http://m.weibo.cn/n/墨sang'>@墨sang</a>:超时员工这种活简直不要太好找<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png"" style=""width:1em;height:1em;;""></span>",所以失业的中国员工可以去央视上班吗？,阿蓉是只傻白甜,OPPO R9s,4087507005960305,墨sang
等国家没有了，你再担心下岗工人吧！中国那么多超市，为什么非要在乐天嘞！这也算是给中国超市解决竞争对手！,-,小梦兰青,iPhone 6,4087507005493423,-
TMD韩国乐天赶紧滚出中国，韩国别想再赚中国一分钱，中国人都醒醒有点骨气吧！真是看不下去这种软骨头没有半点民族意识的部分中国人了！,-,狼外婆中意的小红帽,iPhone 6,4087506985724275,-
回复<a href='http://m.weibo.cn/n/黄太子老师'>@黄太子老师</a>:已举报,唉！真是流氓国家,珊珊TVXQ,HUAWEI Mate 8,4087506985724143,黄太子老师
"回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:乐天并不是他们唯一的饭碗<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",闹完之后，下岗的都是中国的员工,魂穿coco_,vivo智能手机,4087506985048997,Kevin君格君格Durant
"回复<a href='http://m.weibo.cn/n/黄太子老师'>@黄太子老师</a>:中国要都是你这种人，中国就废了<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png"" style=""width:1em;height:1em;;""></span>",回复<a href='http://m.weibo.cn/n/百合花的蓝色爱情海'>@百合花的蓝色爱情海</a>:就不，气死你,百合花的蓝色爱情海,华为P8,4087506980842759,黄太子老师
回复<a href='http://m.weibo.cn/n/墨sang'>@墨sang</a>:你脑子也失业了么？,所以失业的中国员工可以去央视上班吗？,李士比亚的救赎,iPhone 6,4087506980323276,墨sang
"唔喔喔<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_touxiao-3458a765a2.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_huaixiao-bb5966dcc6.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em;height:1em;;""></span>",-,囍李Zhu,OPPO智能手机,4087506977316736,-
回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:难道你不是商场的工作初中文凭就可以干？天呐,闹完之后，下岗的都是中国的员工,DZS_722,小米手机5,4087506968763272,Kevin君格君格Durant
我去厉害了，韩国越来越没脸了,-,陆遥去了永无岛,三星GALAXY A,4087506959739937,-
回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:如果拿这个说事的话。。其实一个城市关掉一家超市造成一部分人失业，真的还有很多超市的吧，而且别说哪个城市了，就乡镇好了，都会有关掉的企业，也很少人要死要活，再去其他企业就好。超市的员工本来就是流动性很大的。当然啦，希望他们尽快顺利找到工作，不过期间也是有失业金可以办的。,希望政府能安顿中国员工吧。。,依然可依,iPhone 6s,4087506939487603,猫巷里的树语
"实在看不懂说下岗的是中国人的人在想啥子……反乐天的时候你没闹？这下超市关了又开始担心超市员工了？现在闹成这个样子关了就完了吗？肯定有补偿啊……关了超市以前在超市里买东西的人就不买了？可以再开一家啊依旧需要人啊……只能说想太多又想不全<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>洗洗睡吧",-,阿可可可可可可儿,iPhone 6s,4087506935130982,-
那乐天里工作的中国人就丢工作了,-,Galulujae,iPhone 6,4087506922518312,-
<a href='http://m.weibo.cn/n/dongsheng-1205'>@dongsheng-1205</a>,-,Tiffany_C_,iPhone 7,4087506918306670,dongsheng-1205
什么主动。都是中国人不开了。也开不下去了,-,马不停蹄的追逐,iPhone 5s,4087506909671551,-
活该,-,stopstop-再前行2,iPhone 6s,4087506909317589,-
话说乐天是日企吧…… 老板是日籍韩国人…,-,抹茶爆米花汽水,iPhone 6s,4087506900916243,-
"感觉一个乐天关了，中国要饿死很多人一样<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",-,宝塞塞勒,宝塞塞勒iPhone 6s,4087506892511451,-
我中华儿女难道还缺乐天棒子国的工作来养家糊口吗？,-,专业荷包蛋,iPhone 6s Plus,4087506888312107,-
中国人多业大，没有一家也会有另外一家，所以现在没了乐天我们中国经济又怎么了？搞笑…,-,总攻不是攻,nubia Z11 mini,4087506884462131,-
打起仗来你特么键盘都没得敲了,-,HEI嘿嘿大人,iPhone 6s Plus,4087506884458631,-
回复<a href='http://m.weibo.cn/n/溪上漂流'>@溪上漂流</a>:你TM去死吧，看清楚是你美爹邀请的中国！,粉红蛆如愿以偿，然而它主子早已改变了态度，最近各种巴结美国,zuiaicolin,HUAWEI Mate 8,4087506876056646,溪上漂流
<a href='http://m.weibo.cn/n/治愈系逗比200207'>@治愈系逗比200207</a>: 国外敌特势力雇佣的键盘侠又找到“失业”这个突破口了！那我就用一个比喻来提醒国人吧“农场主养鸡不是出于善心，是因为鸡长大能为其带来利益”乐天在中国雇中国人赚中国人的钱，然后再用中国的钱来害中国！其中利害关系我想只要有爱国心的人都能看出来！,-,皇德耀世慌得要死,Android客户端,4087506867563660,治愈系逗比200207
"回复<a href='http://m.weibo.cn/n/大付小川哥'>@大付小川哥</a>:捧这么臭的脚当心嘴里长脚气<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_bishi-c1f9abcd15.png"" style=""width:1em;height:1em;;""></span>",回复<a href='http://m.weibo.cn/n/温斯顿的花园'>@温斯顿的花园</a>:不要和一群公务员讲道理，毕竟我们生在中国，他们生在党国,北极星233048,iPhone 6,4087506859161722,大付小川哥
才二十家？,-,陈漪泊-无论如何还是我,OPPO智能手机,4087506855044914,-
回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:不止是超市，很多公司都是这样，倒闭了又有新的公司开张。我去年呆的公司欠我一两万工资，今年不是也一样换公司工作。中国这么大，容不下这几十家超市的员工么。大是大非面前总得分清主次啊。,我妈以前就做超市的促销……关了一家又开一家？咋的？没了乐天这些人就下岗了？失业了？我觉得是有些人夸大其词了……全国就99家乐天……我们家的小城区一年能关两家超市，日子照样过，我妈照样换着上班找工作……日子苦点，累点……我还是长大了，我妈也到时间休息享福了……,我有故事和烟酒ang,iPhone 6,4087506854962597,maliry98
回复<a href='http://m.weibo.cn/n/溪上漂流'>@溪上漂流</a>:那些个嘴里喷粪的我怀疑也就剩一张嘴拉，,粉红蛆如愿以偿，然而它主子早已改变了态度，最近各种巴结美国,伊伊枝v5,Android客户端,4087506846553466,溪上漂流
回复<a href='http://m.weibo.cn/n/六扇门里呀'>@六扇门里呀</a>:其实是不愁，付出劳动，肯定会有收入。我只是担心，好多超市的人都不是本地人，好不容易找到一份相对稳定工作，也不容易啊。不是所有人都能很容易找到工作的。,回复<a href='http://m.weibo.cn/n/新仔走天涯'>@新仔走天涯</a>:中国这么大，还愁找不到工作？？？？,新仔走天涯,微博 weibo.com,4087506842355539,六扇门里呀
评论好多卖国贼,-,喜马拉雅在不在,微博 weibo.com,4087506834492668,-
回复<a href='http://m.weibo.cn/n/黄太子老师'>@黄太子老师</a>:别说流满国家的文字,唉！真是流氓国家,taytay_x,iPhone 6s,4087506829744796,黄太子老师
"乐天关门停止营业前大家说不要去乐天抵制韩货 现在又说员工下岗受苦的都是百姓 唉<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",-,我是糖大乐,荣耀畅玩4C,4087506821343955,-
我已经快忘记韩国这个国家了。😂 😂 😂,-,Mr_凡and_Dimash,OPPO R9,4087506821339772,-
回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:中国不缺超市,希望政府能安顿中国员工吧。。,洪旭林0,iPhone 6s,4087506800679939,猫巷里的树语
"回复<a href='http://m.weibo.cn/n/说个晚安'>@说个晚安</a>:我特意点了个别人的赞看了看<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",你们有没有发现微博的赞变成蓝色了,一脸萌鼻,OPPO R7 Plus,4087506779226321,说个晚安
"回复<a href='http://m.weibo.cn/n/羞涩的起哄架秧子星人'>@羞涩的起哄架秧子星人</a>:好像全中国就只有乐天超市似得！不在乐天可以去别的超市上班呀<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>","算过有多少人失业么？影响多少下游供货商？直接或间接影响多少家庭么？国家面前不就业<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",清新旅程,OPPO R9,4087506758318657,羞涩的起哄架秧子星人
所以这是绝对不认输的节奏了？,-,么么Oolily,够快才畅快vivo X6S,4087506758315094,-
回复<a href='http://m.weibo.cn/n/黄太子老师'>@黄太子老师</a>:来，再说一遍！你喜欢哪就滚哪去吧，别在这秀智障了,唉！真是流氓国家,有鹿为安TvxQ,OPPO R7s,4087506741855394,黄太子老师
说员工失业问题的也是脑残到一定程度了,-,嘚嘚嘚个不停,告别不快vivo V3Max,4087506734058796,-
回复<a href='http://m.weibo.cn/n/羞涩的起哄架秧子星人'>@羞涩的起哄架秧子星人</a>:狗汉奸,"算过有多少人失业么？影响多少下游供货商？直接或间接影响多少家庭么？国家面前不就业<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",我就是5123386379,iPhone 6s,4087506717243737,羞涩的起哄架秧子星人
回复<a href='http://m.weibo.cn/n/羞涩的起哄架秧子星人'>@羞涩的起哄架秧子星人</a>:没算过，但我掐指一算你应该脑子有病？,"算过有多少人失业么？影响多少下游供货商？直接或间接影响多少家庭么？国家面前不就业<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",zuiaicolin,HUAWEI Mate 8,4087506687814997,羞涩的起哄架秧子星人
"回复<a href='http://m.weibo.cn/n/钟酷酷bell'>@钟酷酷bell</a>:不光这家 大于家那边的也关了<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_miao-9ebe15b2c2.png"" style=""width:1em;height:1em;;""></span>",<a href='http://m.weibo.cn/n/超级坚果保龄球'>@超级坚果保龄球</a>,超级坚果保龄球,iPhone 6s,4087506674350336,钟酷酷bell
其实，我一直很好奇，特么的乐天为什么我都没听说过，要不是这次萨德事件我真尼玛没听说过。。,-,爱吃肉的胖哒胖,OPPO R9,4087506611512902,-
回复<a href='http://m.weibo.cn/n/墨sang'>@墨sang</a>:还有其它超市，应该不至于失业到饿肚子,所以失业的中国员工可以去央视上班吗？,SherlockJFH,iPad mini,4087506607230360,墨sang
乐天走了，下一个中国版的乐天还会起来。看谁能抓住机会。,-,吃虫虫的小草,iPhone 7 Plus,4087506595054131,-
回复<a href='http://m.weibo.cn/n/风无影134521'>@风无影134521</a>:你个键盘侠bb两句就是管了，你怎么不去开家超市招人？你当时计划经济？分配工作？知道什么叫市场经济吗，SB,没人管下岗职工的死活，他们只管&quot;爱国&quot;,狂野喵喵奈德丽,魅族 MX6 遇见好照片,4087506587203976,风无影134521
"回复<a href='http://m.weibo.cn/n/请用有才华来形容我丨'>@请用有才华来形容我丨</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>拜托，以事论事好不，我是指本土消费者减少商超的消费，而商超因为本土民众消费骤减致业务量下降（这里暂不评论是主动还是被动情形）而停业，但却仍要在停业期间支付本土雇员的薪资，是视本土消费与本土雇员的关系而论，您瞎扯个熊呀，安好。问好。",回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:装备萨德系统叫有义？！我明天在你家装个监听你得跟我拜把子吧，老铁。,TONY3093-李诚涌,微博 weibo.com,4087506561352487,请用有才华来形容我丨
回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:能不能有点脑子！,闹完之后，下岗的都是中国的员工,MrCliches,iPhone 6 Plus,4087506527736879,Kevin君格君格Durant
"回复<a href='http://m.weibo.cn/n/羞涩的起哄架秧子星人'>@羞涩的起哄架秧子星人</a>:你行走的范围，就是你的世界<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>","算过有多少人失业么？影响多少下游供货商？直接或间接影响多少家庭么？国家面前不就业<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",Hatsukoi丶彌貓,iPhone 6,4087506523541203,羞涩的起哄架秧子星人
回复<a href='http://m.weibo.cn/n/黄太子老师'>@黄太子老师</a>:看这么多人骂你我也就放心了,唉！真是流氓国家,唐伯猫,♘ ​​​iPhone 7,4087506519684846,黄太子老师
回复<a href='http://m.weibo.cn/n/liberum'>@liberum</a>:你当全世界都跟你一样肤浅？总想跩词儿还整不明白,中国政府和人民最后可能征服了乐天却失去了世界。,-Lips-Shut-,iPhone 7,4087506515482509,liberum
"看评论单纯想说覆巢之下安有完卵<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",-,19960702er,纤薄王者X5Max,4087506485724900,-
好,-,前任攻略生活版,微博 HTML5 版,4087506477668151,-
