name,comment_id,reply_name,reply_text,source,text
三星 Galaxy S7 Edge,"回复<a href='http://m.weibo.cn/n/孤枕辞'>@孤枕辞</a>:我说实话 我没看到一个失业的在这闹 全是网友热心肠<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",4087668545123956,回复<a href='http://m.weibo.cn/n/潇潇715'>@潇潇715</a>:失业的不是你,会布谷的斑马,孤枕辞
魅族 MX5,回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:什么仁义？就你懂？啊是劳务合同规定 弱智 还套仁义的帽子呢？他有义还会布置萨德？mdzz,4087668524150321,"<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>雇员都是本土的，人家在停业期间还要支付雇员薪资，活脱脱一幕，您不仁我还有义，安好。问好。",社会主义肉包子,TONY3093-李诚涌
iPhone 6 Plus,反正一句话要抵制也要理性，你家都揭不开锅了，你还是先把饭吃饱再说，,4087668520167756,-,十九个男人的故事,-
iPhone 6s Plus,回复<a href='http://m.weibo.cn/n/溪边的快乐小树'>@溪边的快乐小树</a>:韩国不同意的话、美国怎么操纵。,4087668508158917,回复<a href='http://m.weibo.cn/n/孔小孔1992'>@孔小孔1992</a>:明明是美国在操纵，义和团屁不敢放一个，只敢折腾小小韩国开在国内的超小小超市，就这下三滥的手段。,丰胸减肥药,溪边的快乐小树
iPhone 6s,这就是中国的现状吧，有的人爱国，支持着所有国货。有的人不爱国，幻想着国外的生活，却又没能力出国，于是在这里只能做喷子，继续买着外国的东西，然后觉得活在中国很悲哀。 可你毕竟是中国人啊，其实吧，国产真的没你想的那么差，之前我也用着国外的护肤品，现在我都用着国产的佰草集，比外国的好用,4087668507571565,-,可爱不可爱的白小妞,-
仙子王源儿Android,"回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:说的好像我们中国员工全靠乐天一样<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_dalian-430a73461b.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_dalian-430a73461b.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_dalian-430a73461b.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_dalian-430a73461b.png"" style=""width:1em;height:1em;;""></span>",4087668482760845,闹完之后，下岗的都是中国的员工,叶拖拖呀-,Kevin君格君格Durant
微博 weibo.com,回复<a href='http://m.weibo.cn/n/小蝴蝶小披风321'>@小蝴蝶小披风321</a>:能混到管理层还怕找不着工作，也是醉哦。,4087668470351487,"回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:哎…那些说超市到处都有的…收银的理货的是可以轻松跳槽，管理人员呢？也是说去哪就能去哪的？从头开始有多难，评论里的都不用上班吗？带着脑子上网！<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_heng-5670fca4fa.png"" style=""width:1em;height:1em;;""></span>",2bkgirl,小蝴蝶小披风321
iPhone 6,回复<a href='http://m.weibo.cn/n/来说出我的微博名'>@来说出我的微博名</a>:😂不知道为什么，我觉得这些人可能就是破坏共享单车的人。,4087668436563154,"评论有毒。跟前几天完全不是一个风向，都不管什么国家安全就记得惦记原乐天员工了<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>乐天关闭这么久了我没看见任何员工因失业闹事，只看见一群键盘侠逼逼叨叨<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",衬衫半干_,来说出我的微博名
华为Ascend P6,回复<a href='http://m.weibo.cn/n/章大人GMAT'>@章大人GMAT</a>:放心，多的是,4087668432850903,这么恶劣的投资环境，还有外企会来吗？,一晨一语,章大人GMAT
vivo智能手机,说个笑话，评论里的键盘侠都好有素质,4087668381972151,-,用大宝的咸鱼,-
