source,reply_name,reply_text,comment_id,text,name
iPhone 6 Plus,TONY3093-李诚涌,"回复<a href='http://m.weibo.cn/n/晚霞1388'>@晚霞1388</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span>您真够不要脸，拿着所谓的“正义”在那瞎胡扯，见您在今天 15:39 来自 iPhone 6 Plus发出的评论是什么吧，骂人也是您先，否则何以受我咒呢，我的评论中心意思是指商超在停业期间仍依法支付薪资对于本土有些企业即便违法也不会履行法则而言，您扯到了什么汉奸，现时又扯萨德",4088086029502279,回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:你上期既说我是文革余孽，我辈分怎么也当的上你奶奶了，孙子，奶奶告诉你，去哪工作都要签一个叫劳动合同的东西，合同没到期因一方过错另一方可以要求继续履行合同，不然过错方要支付违约金。孙子，记着，只要你拿中国护照，你就不是谁，只是一个中国人，中国是有不足，但别自己国家啥都喷，别国啥都捧,晚霞1388
iPhone 6 Plus,达达好帅Rocky,回复<a href='http://m.weibo.cn/n/一碗刘铁锤'>@一碗刘铁锤</a>:是啊是啊，全国只要还剩一家超市，一家公司，大家就都有工作干。,4088086021355530,"回复<a href='http://m.weibo.cn/n/达达好帅Rocky'>@达达好帅Rocky</a>:智障<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png"" style=""width:1em;height:1em;;""></span>",一碗刘铁锤
iPhone 7 Plus,一碗刘铁锤,"回复<a href='http://m.weibo.cn/n/达达好帅Rocky'>@达达好帅Rocky</a>:一个城市里关一个屁大点儿的超市就活不了了？<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",4088084176406596,回复<a href='http://m.weibo.cn/n/一碗刘铁锤'>@一碗刘铁锤</a>:是啊是啊，全国只要还剩一家超市，一家公司，大家就都有工作干。,达达好帅Rocky
iPhone 6s,Pilot舒克,回复<a href='http://m.weibo.cn/n/小胖手游评测'>@小胖手游评测</a>:工作中你没违心恭维过别人吗？你请假的时候没低声下气给人事部解释过么？如果没有，那说明你是老板。那老板的话，税务局来查税的时候没陪过饭没陪过笑脸？,4088084066358285,回复<a href='http://m.weibo.cn/n/Pilot舒克'>@Pilot舒克</a>:工作有哎。但是面试都没有，面试要拍马屁？,小胖手游评测
三星 Galaxy S7 Edge,TONY3093-李诚涌,"回复<a href='http://m.weibo.cn/n/皮卡秋magic'>@皮卡秋magic</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xixi-ce63ce2629.png"" style=""width:1em;height:1em;;""></span>放心，我没有本土部分垃圾人的思维，我从来不会有抵触也不会因同胞使用了海外产品或言论而任意指责他人为汉奸，这才是幼稚思维，更是愚昧思想，世界早是一体化，不在是孤岛，其次，您的臆想更可笑，改改吧，乱扣帽子的时代不会再有啦，希您一切安好。问好。",4088080505388031,回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:别问好安好了 你说这话我就觉得可笑 说我用三星的是你 说自己又不是辣鸡思维的也是你 你想表达什么？你很清高？汉奸还是真是可爱得清新脱俗,皮卡秋magic
微博 weibo.com,幸福乌鸦,回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:我不否认有违法且没有道德底线的企业和机构，但您说的是，中国本土企业“有多少”在执行，我只是单纯想问，这个比例是哪里得出的结论？虽然提倡言论自由，我觉得还是要严谨一点。总不能因为一个人被抓，就说全家都是罪犯吧？且那种乌托邦是很难达到的，毕竟人有私欲。,4088080363188931,"回复<a href='http://m.weibo.cn/n/幸福乌鸦'>@幸福乌鸦</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>您难道看不到本土的新闻，其次，有空您可以去劳动仲裁部门了解一下，看看，本土有多少企业在劳动法执行的恶劣，我可以肯定告诉您，不良企业违法数量非常大，因此，您说得多漂亮或台面话说得多圆满也抵不上“血淋淋”的现实，企业雇员集体上街事件也呈多发。问好。",TONY3093-李诚涌
微博 weibo.com,Color_player王子微,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png"" style=""width:1em;height:1em;;""></span>妈卖批哟 整个回复全部都是复制粘贴 666",4088079528747821,"回复<a href='http://m.weibo.cn/n/Color_player王子微'>@Color_player王子微</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>对于您们这类垃圾，开口就开骂，那最有效的就是批量以黑制黑，以批量撕逼您们这帮垃圾，希一切安好。问好。",TONY3093-李诚涌
微博 weibo.com,皮卡秋magic,回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:首先一点 我买这个产品是在萨德之前 你用这个来说未免幼稚？ 其次 带节奏的是你 也是不知道你拿了多少工资 问安,4088079071708828,"回复<a href='http://m.weibo.cn/n/皮卡秋magic'>@皮卡秋magic</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xixi-ce63ce2629.png"" style=""width:1em;height:1em;;""></span>放心，我没有本土部分垃圾人的思维，我从来不会有抵触也不会因同胞使用了海外产品或言论而任意指责他人为汉奸，这才是幼稚思维，更是愚昧思想，世界早是一体化，不在是孤岛，其次，您的臆想更可笑，改改吧，乱扣帽子的时代不会再有啦，希您一切安好。问好。",TONY3093-李诚涌
华为P9手机摄影再突破,HannibalTecter,"回复<a href='http://m.weibo.cn/n/你是不是神经病阿'>@你是不是神经病阿</a>:这不是专业，这只是常识，要是真爱国就有责任去搞清楚这些常识<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>你这水平也代表不了常人，只能代表高中生。说了这么多，就是告诉你别瞎带节奏，什么tm导弹砸过来了，先去搞清楚到底是什么东西去<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>这么个屁东西就这样，当我们解放军火箭军就那么垃圾<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>不懂乱说只能长他人志气，灭自家威风",4088075103669906,"回复<a href='http://m.weibo.cn/n/HannibalTecter'>@HannibalTecter</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>你理解可真够深的  ，把我没有的也表达出来。何时灭自家威风？你的所谓常识这个并不是吧，秀哪门子优越？ 我所要表达的居安思危你看出来了嘛？",你是不是神经病阿
iPhone 6,5若北,"回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:可不敢跟你比<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",4088073887382337,回复<a href='http://m.weibo.cn/n/5若北'>@5若北</a>:智障又来 祝你妈明天失业,穿啥裤子都往下掉
告别不快vivo V3Max,穿啥裤子都往下掉,真是一帮蠢货，乐天关门你们高兴，那关门之后的中国员工呢？你们掏钱负责安顿吗？,4088073836989412,回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:骂死这个狗汉奸！哈哈哈。,哐哐彼尔德
魅族 MX4,穿啥裤子都往下掉,回复<a href='http://m.weibo.cn/n/5若北'>@5若北</a>:智商爆表,4088073640241781,"回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:可不敢跟你比<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",5若北
告别不快vivo V3Max,穿啥裤子都往下掉,回复<a href='http://m.weibo.cn/n/哐哐彼尔德'>@哐哐彼尔德</a>:你死全家,4088073506078933,回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:哈哈，反弹，你不仅死全家，你还生孩子没屁眼，怎样？就是一票人骂你你能怎样？咬我阿？狗儿子！,哐哐彼尔德
iPhone 6s,-,-,4088071287449041,"知道这么说可能不太好，但是好想直接打他妈的，谁不服，谁欺负咱，就打<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;;""></span>",三好学生谭笑笑
iPhone 6s,你是不是神经病阿,"回复<a href='http://m.weibo.cn/n/HannibalTecter'>@HannibalTecter</a>:是  可能你这块比较专业懂一些<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>就我们常人而言  有人在自家门口装监控  往往意味着危险",4088070216971865,"回复<a href='http://m.weibo.cn/n/你是不是神经病阿'>@你是不是神经病阿</a>:这不是专业，这只是常识，要是真爱国就有责任去搞清楚这些常识<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>你这水平也代表不了常人，只能代表高中生。说了这么多，就是告诉你别瞎带节奏，什么tm导弹砸过来了，先去搞清楚到底是什么东西去<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>这么个屁东西就这样，当我们解放军火箭军就那么垃圾<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>不懂乱说只能长他人志气，灭自家威风",HannibalTecter
Android,獨眼金木yan,回复<a href='http://m.weibo.cn/n/Z_x_x_D'>@Z_x_x_D</a>:你那么担心国家安全  怎么还不去攻占韩国？,4088069403739025,"回复<a href='http://m.weibo.cn/n/獨眼金木yan'>@獨眼金木yan</a>:能发出这样的评论，我默默删除写好的长篇说服教育<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;;""></span>因为幼稚&amp;智障的人，不适合任何有建设性的话，反正也听不懂人话<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",Z_x_x_D
Android,四次元空间袋0526,回复<a href='http://m.weibo.cn/n/Z_x_x_D'>@Z_x_x_D</a>:牛逼的回复，只服你，键盘侠还是担心担心下岗职工炒作过了你们又该炒什么吧！,4088069050856741,"回复<a href='http://m.weibo.cn/n/四次元空间袋0526'>@四次元空间袋0526</a>:哈哈哈<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",Z_x_x_D
iPhone 6s Plus,刘老歪,回复<a href='http://m.weibo.cn/n/stanly111'>@stanly111</a>:朋友，一个超市我们算他五百人，乐天在中国算有100家。只多不少了吧？关闭后有5万人失业，14亿人口基数5万人失业有个屁声儿大不？,4088067201480570,回复<a href='http://m.weibo.cn/n/刘老歪'>@刘老歪</a>:是啊，在你们这些白眼狼眼里五万人失业是屁大点事儿，要是你爸妈老婆孩子失业，看你在这儿高潮不？,stanly111
Android客户端,为逍断魂,回复<a href='http://m.weibo.cn/n/初見sHowNu丶'>@初見sHowNu丶</a>:你这是典型的忧民不忧国,4088064635146398,"回复<a href='http://m.weibo.cn/n/为逍断魂'>@为逍断魂</a>:不得民心何以成国？中国几千年的例子。看看历史吧。<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-fdd5eeb1d1.png"" style=""width:1em;height:1em;;""></span>",初見sHowNu丶
iPhone 6,-,-,4088063900981298,"放心好了，换块牌子挂着，给其他公司便宜点租金，超市照样还在那里。<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",谁用了我的昵称Alice
手机微博触屏版,初見sHowNu丶,"回复<a href='http://m.weibo.cn/n/为逍断魂'>@为逍断魂</a>:这跟反对乐天没关系，反对乐天之后给老百姓一个交代。哦，国家为了一个萨德系统封了乐天以后乐天的中国员工就该挨饿了？<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",4088063778563200,回复<a href='http://m.weibo.cn/n/初見sHowNu丶'>@初見sHowNu丶</a>:你这是典型的忧民不忧国,为逍断魂
iPhone 6 Plus,达达好帅Rocky,回复<a href='http://m.weibo.cn/n/爱吃鱼的赵小V'>@爱吃鱼的赵小V</a>:少一个超市，少几份就业，多一个超市，多几份就业。短期内真的没影响吗？政府都知道招商引资，这么简单的道理你不懂？脑子是个好东西，希望你也有。,4088062621252918,"回复<a href='http://m.weibo.cn/n/达达好帅Rocky'>@达达好帅Rocky</a>:一个城市里关一个屁大点儿的超市就活不了了？<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",一碗刘铁锤
iPhone 6,竹生青宁,回复<a href='http://m.weibo.cn/n/东西不要乱捡来吃'>@东西不要乱捡来吃</a>:贵国人真有礼貌,4088060805254553,回复<a href='http://m.weibo.cn/n/竹生青宁'>@竹生青宁</a>:你亲妈暴毙啦,东西不要乱捡来吃
华为 P8max,最爱爬爬虾,回复<a href='http://m.weibo.cn/n/铁饭碗端不动'>@铁饭碗端不动</a>:你美爹一直制裁古巴啊,4088060524579720,回复<a href='http://m.weibo.cn/n/最爱爬爬虾'>@最爱爬爬虾</a>:有本事让韩国人下岗，让中国人下岗打击韩国，人家可是想让打击来得更猛烈一些。,铁饭碗端不动
小米Max,-,-,4088057654932496,在商言商,Nickel_Wang
荣耀6,铁饭碗端不动,回复<a href='http://m.weibo.cn/n/最爱爬爬虾'>@最爱爬爬虾</a>:砸古巴人在美国开的超市能解决古巴危机。,4088057575883306,回复<a href='http://m.weibo.cn/n/铁饭碗端不动'>@铁饭碗端不动</a>:你美爹一直制裁古巴啊,最爱爬爬虾
三星 GALAXY S6 edge,TONY3093-李诚涌,"回复<a href='http://m.weibo.cn/n/嘟嘟娜宝宝'>@嘟嘟娜宝宝</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>去您妈逼，您去比对一下本土有多少企业停业会依法给付薪资，您眼瞎啦，还是文盲，本土新闻看不到啦，您嘴巴再不干净将与您造假平台的主子一样病入膏肓，希您与您主子一切安好。问好。",4088056660759055,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:那你去韩国找你爸爸啊<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",_山西老陈醋_
三星 Galaxy S7 Edge,TONY3093-李诚涌,"回复<a href='http://m.weibo.cn/n/皮卡秋magic'>@皮卡秋magic</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>若遵从本土的思维，用韩国移动电话产品的恰恰是您，那我为何不说您是汉奸呢，能明白其中的道理么，我们不能片面基于事物表象或观点来任意认定人，因为世界是多元化的，我们都应客观评价人与事，希您一切安好。问好。",4088056593642110,回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:首先一点 我买这个产品是在萨德之前 你用这个来说未免幼稚？ 其次 带节奏的是你 也是不知道你拿了多少工资 问安,皮卡秋magic
微博 weibo.com,王鲁平1985,回复<a href='http://m.weibo.cn/n/安安_2543'>@安安_2543</a>:告诉你一个不幸的消息，乐天如上诉至WTO，所受损失将由中国商务部承担。而且，乐天关闭中国区业务，对阻止萨德入韩毫无帮助，只会加速入韩进程。又，乐天止举对公司总体业务不会造成损失，参考辣条君。,4088052555574076,回复<a href='http://m.weibo.cn/n/王鲁平1985'>@王鲁平1985</a>:就你脑子好使，这东批西凑也能当立脚论点。真是不幸的消息，乐天上诉至WTO，诉什么呢？国家民众自愿自发抵制他们？什么是消费？难不成乐天还能强制国家民众给他们消费？,安安_2543
iPhone 7,霍小伙,回复<a href='http://m.weibo.cn/n/明朝_卖杏花'>@明朝_卖杏花</a>:对于你这种人，只有三个字送你cnm,4088052043976918,回复<a href='http://m.weibo.cn/n/霍小伙'>@霍小伙</a>:滚去吃屎，谁给你资格代表大多数人,明朝_卖杏花
微博 weibo.com,猫巷里的树语,希望政府能安顿中国员工吧。。,4088051833480598,回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:说让政府出来安顿乐天员工的，都是批着道德外衣的国家敌对势力。国家从来没有明令让中国员工不能在乐天上班，为啥需要安顿？这是在给南朝鲜收集证据，告到WTO吗？思之极恐，居心不良，国人须知啊！,安安_2543
微博 HTML5 版,-,-,4088051774329916,ba,用户90t2x36igz
HUAWEI Mate 8,-,-,4088049636055216,一个月损失七亿多人民币，干倒乐天还有其它韩国企业，继续！别他妈说什么中国流氓，他妈的国家大义面前你给我讲友善，萨德的部署已经威胁了中国国防安全了！祖先不仅只教会你君子厚德载物，也教了你君子不立危墙之下,书中自有荒井污
华为 P8max,最爱爬爬虾,回复<a href='http://m.weibo.cn/n/铁饭碗端不动'>@铁饭碗端不动</a>:你想多了，境内的企业都是大爷？不损害中国利益才能够在中国立足，你这样的人毫无自信，中国这么大的市场，几个企业和国家愿意放弃？,4088047483922698,回复<a href='http://m.weibo.cn/n/最爱爬爬虾'>@最爱爬爬虾</a>:砸古巴人在美国开的超市能解决古巴危机。,铁饭碗端不动
持久到离谱 魅蓝Note5,-,-,4088044115684948,<a class='k' href='http://m.weibo.cn/k/山东省教师招聘泄题?from=feed'>#山东省教师招聘泄题#</a><a class='k' href='http://m.weibo.cn/k/山东事业编考试?from=feed'>#山东事业编考试#</a>山东省统考和培训机构勾结起来泄题。我们辛苦备考几个月，最后抵不过报个有后台的培训班是吧？给个解释行嘛？昨天山香就说今天考试有主观题，还有机构出来说主观题肯定会考。为师教育更厉害，居然考前做过好几道原题。望大V关注！！ ,山东教师招聘泄题
小米手机3,李小朴,回复<a href='http://m.weibo.cn/n/默默守护是个小疯子'>@默默守护是个小疯子</a>:你这种底层社会屌丝就是给中国这个泱泱大国添堵，根本就不配做大国公民，回家好好反思去吧,4088039989294969,回复<a href='http://m.weibo.cn/n/李小朴'>@李小朴</a>:填你妈，比你这种喷子好。,默默守护是个小疯子
小米手机3,李小朴,回复<a href='http://m.weibo.cn/n/默默守护是个小疯子'>@默默守护是个小疯子</a>:你这种用着小米手机的社会底层屌丝就不要出来丢人现眼了,4088039800574877,回复<a href='http://m.weibo.cn/n/李小朴'>@李小朴</a>:说你是萨逼还真喘上了，用小米就底层，用苹果就高层？？你是智障吧，还是脑子装的屎,默默守护是个小疯子
iPhone 6,TONY3093-李诚涌,"回复<a href='http://m.weibo.cn/n/Color_player王子微'>@Color_player王子微</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>去您妈逼，您去比对一下本土有多少企业停业会依法给付薪资，您眼瞎啦，还是文盲，本土新闻看不到啦，您嘴巴再不干净将与您造假平台的主子一样病入膏肓，希您与您主子一切安好。问好。",4088037241270582,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png"" style=""width:1em;height:1em;;""></span>妈卖批哟 整个回复全部都是复制粘贴 666",Color_player王子微
情敵送的iPhone 7 Plus,李晶磊,然后中国员工大量失业,4088036944381530,回复<a href='http://m.weibo.cn/n/李晶磊'>@李晶磊</a>:我国十几亿人口，都指乐天活了？乐天关闭下岗才几百人，他们就没法生活了？那我们这么多人没在乐天工作的都饿死啦！中国那么大 还怕在找不到工作？,大王Curtain
Weico.iPhone,-,-,4088035421968969,"<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;;""></span>妈的智障！工作可以再找，国家就一个。说的跟乐天不关那些员工就永远不会失业一样！",黑胖总攻就是我
iPhone 5s,溪上漂流,粉红蛆如愿以偿，然而它主子早已改变了态度，最近各种巴结美国,4088035135705739,回复<a href='http://m.weibo.cn/n/溪上漂流'>@溪上漂流</a>:你是得多大的官啊？啥国家内情你都懂？瞎几把吼,啊这就是爱
iPhone 5s,素矣,回复<a href='http://m.weibo.cn/n/孔小孔1992'>@孔小孔1992</a>:哈哈，这玩意能让国家没有么……,4088034847133147,回复<a href='http://m.weibo.cn/n/素矣'>@素矣</a>:只会让你智商没有,啊这就是爱
iPhone 5s,溪边的快乐小树,回复<a href='http://m.weibo.cn/n/孔小孔1992'>@孔小孔1992</a>:明明是美国在操纵，义和团屁不敢放一个，只敢折腾小小韩国开在国内的超小小超市，就这下三滥的手段。,4088034414436242,回复<a href='http://m.weibo.cn/n/溪边的快乐小树'>@溪边的快乐小树</a>:你行你上啊 能了你了,啊这就是爱
iPhone 6,小西瓜和小香瓜,"回复<a href='http://m.weibo.cn/n/margk'>@margk</a>:那你不就生活在鸡巴里？？？<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",4088034322425400,回复<a href='http://m.weibo.cn/n/小西瓜和小香瓜'>@小西瓜和小香瓜</a>:666哈哈,四次元空间袋0526
微博 HTML5 版,-,-,4088033718343135,了解,葡萄酒的酸甜
iPhone 6s,你们的知心大爷,回复<a href='http://m.weibo.cn/n/爱妃中鞋了'>@爱妃中鞋了</a>:做个小粉红也是棒棒的，加油！,4088033587837190,回复<a href='http://m.weibo.cn/n/你们的知心大爷'>@你们的知心大爷</a>:总比做白眼脑残公知走狗好,爱妃中鞋了
iPhone 6,Z_x_x_D,"大家顶住！一大波水军串好了词破坏团结，关键字“失业员工怎么办？”，遇上这种情况一律怼回去：你他妈担心这，咋不捐点钱出来救济一下<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/f_geili-244fca3c70.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/f_geili-244fca3c70.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/f_geili-244fca3c70.png"" style=""width:1em;height:1em;;""></span>",4088031520936974,回复<a href='http://m.weibo.cn/n/Z_x_x_D'>@Z_x_x_D</a>:牛逼的回复，只服你，键盘侠还是担心担心下岗职工炒作过了你们又该炒什么吧！,四次元空间袋0526
三星GALAXY A,羞涩的起哄架秧子星人,"回复<a href='http://m.weibo.cn/n/就是个大芒果呗'>@就是个大芒果呗</a>:我的意思是国家的问题就要国家来出面解决，不能总让普通人来牺牲小我啊，既然抵制了员工失业了，那么后续的扶持培训再就业的政策呢，随便上下嘴一碰顾全大局那不是吃别人的人血馒头么？再说朝鲜距中国75公里的核弹和韩国的雷达哪一个危险不难分辨吧<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",4088031034631850,回复<a href='http://m.weibo.cn/n/羞涩的起哄架秧子星人'>@羞涩的起哄架秧子星人</a>:首先，抵制乐天失业的员工并不需要特殊扶持政策也可以再就业，你这么回答可以看出来你真不了解萨德是怎么回事，在此不科普，自己研究去,大大大mangooooo
HUAWEI Mate 8,穿啥裤子都往下掉,回复<a href='http://m.weibo.cn/n/一不小心睡着嘞'>@一不小心睡着嘞</a>:你肯定是蠢货,4088030891216123,"回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",一不小心睡着嘞
