source,reply_name,reply_text,comment_id,text,name
荣耀6,铁饭碗端不动,回复<a href='http://m.weibo.cn/n/最爱爬爬虾'>@最爱爬爬虾</a>:你能抵制韩国的乐天我佩服你，可你抵制的中国乐天和中国沃尔玛一样，除了老板国籍不同，都是国人卖国货且向中国交税的本土超市。乐天大老板人是韩国籍但说日语，正被韩国整，你可能连自己在抗韩还是在抗日都没搞明白。,4088577514037674,回复<a href='http://m.weibo.cn/n/铁饭碗端不动'>@铁饭碗端不动</a>:哈哈，没有韩国在中国的乐天，中国产品就卖不出去了？没有技术含量的外国企业都可以滚，包括可口可乐等。没有韩国乐天，可以有家乐福，欧尚，华润万家，王府井…,最爱爬爬虾
微博 weibo.com,-,-,4088577291782202,这个可肿么办,从倩勤韩
微博 weibo.com,-,-,4088574834210608,我是来看热闹的  自带被子枕头  看你们闹腾,宜者极这
微博 weibo.com,-,-,4088573693189382,哈哈啊  搬个板凳来看热闹,天常拉治
联想黄金斗士A8,甜橙3399,抵制乐天  并不能真正上做点什么  我们都是普通大众  不能一言安定国家大事  如果我们寻常百姓能够  以此来表明我们国家上下一心  可以让世界看看古老大国  国家没有让我们做什么   但求不要有人当卖国的就好了,4088568634873152,"回复<a href='http://m.weibo.cn/n/甜橙3399'>@甜橙3399</a>:支持祖国<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em;height:1em;;""></span>",甜橙3399
联想黄金斗士A8,-,-,4088568252924353,抵制乐天  并不能真正上做点什么  我们都是普通大众  不能一言安定国家大事  如果我们寻常百姓能够  以此来表明我们国家上下一心  可以让世界看看古老大国  国家没有让我们做什么   但求不要有人当卖国的就好了,甜橙3399
联想黄金斗士A8,-,-,4088565333902990,我们这个名族要改变思想   应该多从自身找原因  积极向上的价值观  就以婚嫁为例 攀比之心深深在人们的脑海   真正上变成败了大家成了小家    如果不以苹果来攀比  那么苹果能否在中国如此畅销,甜橙3399
联想黄金斗士A8,-,-,4088565304214595,一切的罪恶都来自于美国     另外日本这个名族只有见到国家血流成河才会畏缩 才会怕    在中国沿海地区   特别是经济发达的地方    对日本的文化  产品的态度样样都是好   以前跟一个朋友谈起日本他说的是日本是令人向往的地方  跟洗脑了一样,甜橙3399
YunOS,章大人GMAT,这么恶劣的投资环境，还有外企会来吗？,4088552717493922,回复<a href='http://m.weibo.cn/n/章大人GMAT'>@章大人GMAT</a>:乐天爱人家的国，你就不爱自已国么？没有国家的安全，那里会有你小家的安全，你脑子进水了吧1,大家好6147346231
iPhone 6,黄太子老师,回复<a href='http://m.weibo.cn/n/害虫断桥'>@害虫断桥</a>:你神经病吧,4088545712914412,回复<a href='http://m.weibo.cn/n/黄太子老师'>@黄太子老师</a>:你智障吧？,害虫断桥
